                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.50178,                0.29805,                0.85255,                0.99961,                      1,                  0.995,                 0.9011,                0.40277,                0.28036,                0.82608,              0.0012872,              0.0012872,              0.0012872
                     38,                0.53979,                 0.3123,                0.85831,                0.99925,                      1,                  0.995,                0.91911,                0.39518,                0.28419,                0.82255,              0.0012674,              0.0012674,              0.0012674
                     39,                0.48146,                0.29534,                0.85212,                0.99949,                      1,                  0.995,                0.93262,                0.35581,                0.25037,                0.82153,              0.0012476,              0.0012476,              0.0012476
                     40,                0.47873,                0.29808,                0.86484,                0.99944,                      1,                  0.995,                0.94196,                0.35224,                0.25614,                0.81582,              0.0012278,              0.0012278,              0.0012278
                     41,                0.50696,                0.30058,                0.84763,                0.99927,                      1,                  0.995,                0.92349,                0.37149,                0.25878,                0.81419,               0.001208,               0.001208,               0.001208
                     42,                0.48235,                0.30008,                0.85039,                0.99826,                      1,                  0.995,                0.92723,                0.35814,                0.27665,                0.81878,              0.0011882,              0.0011882,              0.0011882
                     43,                0.47604,                0.28151,                0.84137,                0.99954,                      1,                  0.995,                0.93809,                0.32751,                0.24213,                 0.8124,              0.0011684,              0.0011684,              0.0011684
                     44,                0.48039,                0.29659,                0.87569,                0.99954,                      1,                  0.995,                0.92583,                0.33642,                0.26407,                0.81633,              0.0011486,              0.0011486,              0.0011486
                     45,                0.49437,                0.29804,                0.86414,                0.99943,                      1,                  0.995,                0.93447,                0.33462,                0.24763,                0.80894,              0.0011288,              0.0011288,              0.0011288
                     46,                0.46433,                0.27537,                0.83087,                0.99951,                      1,                  0.995,                0.93875,                0.33546,                0.25027,                0.81197,               0.001109,               0.001109,               0.001109
                     47,                0.45007,                0.28865,                0.82319,                 0.9996,                      1,                  0.995,                0.94573,                0.31784,                0.23638,                0.80891,              0.0010892,              0.0010892,              0.0010892
                     48,                0.48612,                0.29976,                0.84958,                0.99959,                      1,                  0.995,                0.93937,                0.33872,                0.24877,                0.80746,              0.0010694,              0.0010694,              0.0010694
                     49,                0.45528,                0.28966,                0.83654,                0.99958,                      1,                  0.995,                0.92905,                 0.3537,                 0.2545,                0.81288,              0.0010496,              0.0010496,              0.0010496
                     50,                0.45108,                0.27376,                0.82906,                0.99955,                      1,                  0.995,                0.94201,                 0.3345,                0.24342,                0.80767,              0.0010298,              0.0010298,              0.0010298
                     51,                0.46806,                0.27405,                0.85833,                0.99947,                      1,                  0.995,                0.94855,                0.31354,                0.24061,                0.81207,                0.00101,                0.00101,                0.00101
                     52,                0.46531,                0.26929,                0.82795,                0.99951,                      1,                  0.995,                 0.9307,                0.34033,                0.25149,                0.80999,              0.0009902,              0.0009902,              0.0009902
                     53,                0.45486,                0.27271,                0.84771,                0.99861,                      1,                  0.995,                0.92176,                0.32796,                0.24395,                 0.8075,              0.0009704,              0.0009704,              0.0009704
